Tên sản phẩm,Giá bán,Bộ vi xử lý - Công nghệ CPU,Bộ vi xử lý - Số hiệu CPU,Bộ vi xử lý - Số nhân,Bộ vi xử lý - Số luồng,Bộ vi xử lý - Xung nhịp cơ bản,Bộ vi xử lý - Xung nhịp tối đa,Bộ vi xử lý - Bộ nhớ đệm,Đồ họa và Âm thanh - Card on-board,Đồ họa và Âm thanh - Card đồ hoạ rời,"Bộ nhớ RAM, Ổ cứng - RAM","Bộ nhớ RAM, Ổ cứng - Loại RAM","Bộ nhớ RAM, Ổ cứng - Tốc độ Bus","Bộ nhớ RAM, Ổ cứng - Số khe RAM trống","Bộ nhớ RAM, Ổ cứng - Khả năng nâng cấp RAM","Bộ nhớ RAM, Ổ cứng - Ổ cứng mặc định","Bộ nhớ RAM, Ổ cứng - Khả năng nâng cấp ổ cứng",Màn hình - Số lượng màn hình,Màn hình - Kích thước màn hình,Màn hình - Độ phân giải,Màn hình - Loại tấm nền,Màn hình - Công nghệ màn hình,Màn hình - Hỗ trợ cảm ứng,Màn hình - Tần số quét,Bàn phím & Touchpad - Bàn phím,Bàn phím & Touchpad - Đèn nền bàn phím,Bàn phím & Touchpad - Chuột / Touchpad,Cổng kết nối & tính năng mở rộng - Các cổng giao tiếp,Cổng kết nối & tính năng mở rộng - Kết nối không dây,Phần mềm - Hệ điều hành,Kích thước & trọng lượng - Kích thước,Kích thước & trọng lượng - Trọng lượng,Pin và Sạc - Dung lượng pin,Pin và Sạc - Bộ sạc theo máy,Thông tin khác - Thời điểm ra mắt,Thông tin khác - Chất liệu,Camera - Camera,Đồ họa và Âm thanh - Công nghệ âm thanh,Phần mềm - Phần mềm sẵn có,Thông số kỹ thuật - Keycap (bàn phím),Kết nối & Tương thích - Cổng giao tiếp,Màn hình - Chuẩn màn hình,Thông số kỹ thuật - Loại Switch,Thông số kỹ thuật - Chất liệu,Tiện ích - Tiện ích,Thông số kỹ thuật - Đèn LED
"Laptop RedmiBook 15 (JYU4506AP) - (i5-11300H/8GB/512GB/15.6"" FHD/Windows 11) - Chính hãng","9,490,000 ₫",Intel Core i5,i5 - 11300H,4,8,2.6Ghz,4.4Ghz,8MB,Intel Iris Xe,GPU tích hợp,8GB,DDR4,3200Mhz,None,Đang cập nhật,512GB SSD,Đang cập nhật,1,15.6 inch,1920x1080,IPS,"FHD Resolution: 1,920 x 1,080 PPI: 141 Brightness Control: DC Dimming Brightness: 220 nits (typ) Contrast ratio: 500:1 Color gamut: NTSC 45% (typ) Viewing angle: 90°(H)",None,60Hz,Đang cập nhật,Đang cập nhật,Multi-touch touchpad,"1x HDMI 1.4
2x USB-A 3.2 gen 1
1x USB-A 2.0
1x Mic-in & Head Phone
1x RJ45","Bluetooth v5.0
Wi-Fi 5",Windows 11 Home,363.8x243.5x19.9 (mm),1.8kg,46Whr,Đang cập nhật,2022,Vỏ kim loại,720p HD,2*2W speaker with DTS Audio Processing,Đang cập nhật,,DDR4,,,,,
Mac Studio Chip M3 Ultra (28CPU - 60GPU - 96GB - 1TB) - Chính Hãng Apple Việt Nam,"115,990,000 ₫",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Laptop MSI Modern 14 C7M- 221VN (R7-7730U/8GB/512GB/14"" FHD/Windows 11) - Chính hãng","9,490,000 ₫",AMD Ryzen 7,R7 - 7730U,8,16,2.0GHz,up to 4.5GHz,16MB,AMD Radeon Graphics,GPU tích hợp,8GB,DDR4,3200Mhz,Không,Không hỗ trợ nâng cấp,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,14 inch,1920x1080,IPS,"45% NTSC, Thin Bezel, 65% sRGB",None,60Hz,"Backlit Chiclet Keyboard (Single-Color, White), Full Key.",1 màu - Trắng,Multi-touch touchpad,"1x Type-C USB3.2 Gen2 with PD charging
1x Type-A USB3.2 Gen2
1x (4K @ 30Hz) HDMI
1x Micro SD Card Reader
2x Type-A USB2.0
1x Mic-in/ Headphone-out combo jack","Wi-Fi 6
Bluetooth v5.2",Windows 11 Home,319.9 x 223 x 19.35 mm,1.4kg,"3 cell, 39Whr",,2023,Nhựa,720p HD,2x 2W Speaker,,,Onboard DDR4,,,,,
Laptop Lenovo IdeaPad 5 14IAL7 82SD006PVN (i5-1235U/8GB/512GB/Intel Iris Xe/14 inch FHD/Win 11/Xanh) - Chính hãng,"11,990,000 ₫",Intel Core i5,i5 - 1235U,10,12,1.7 GHz,4.4 GHz,12MB,Card đồ hoạ Intel Iris Xe,GPU tích hợp,8GB,DDR4,3200 MHz,None,Không hỗ trợ nâng cấp,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,14 inch,1920x1080,IPS,"IPS 300nits Anti-glare, 45% NTSC",None,60Hz,Bàn phím tiêu chuẩn,Đang cập nhật,Multi-touch touchpad,"1x USB 3.2 Gen 1
1x USB 3.2 Gen 1 (Always On)
2x USB-C® 3.2 Gen 1 (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.2)
1x HDMI 1.4b
1x Headphone / microphone combo jack (3.5mm)
1x Card reader","Wi-Fi 6
Bluetooth v5.1",Windows 11 Home,321.69 x 211.84 x 16.9 mm,1.44kg,3 cell /56.5Wh,,2023,Vỏ nhựa - nắp lưng bằng kim loại,FHD 1080p with Privacy Shutter,2 loa,,,,,,,,
"Laptop ASUS TUF Gaming A15 FA506NC-HN011W (Ryzen 5 7535HS/8GB/512GB/15.6"" FHD 144Hz/RTX 3050/Windows 11) - Chính hãng","17,090,000 ₫",AMD Ryzen 5,R5 - 7535HS,6,12,3.30 GHz,4.55 GHz,16MB,AMD Radeon™ Graphics,RTX 3050,8GB,DDR5,4800 MHz,1 khe,32GB,512GB SSD,SSD có thể thay thế,1,15.6 inch,1920x1080,IPS,"Độ phủ màu NTSC 45%, SRGB 62.5%, Adobe 47.34%
Màn hình chống chói : Adaptive-Sync",None,144Hz,"Bàn phím tiêu chuẩn, Backlit Chiclet Keyboard",Có đèn nền,Multi-touch touchpad,"1 Jack tai nghe 3.5mm
1x HDMI 2.1
2 x USB 3.2 Thế hệ 1 Loại A
1x USB 3.2 Thế hệ 2 Loại C hỗ trợ DisplayPort / power delivery / G-SYNC
1 x cổng RJ45 LAN","Wi-Fi 6
Bluetooth v5.3",Windows 11 Home,35.9 x 25.6 x 2.28 ~ 2.45 cm,2.3kg,48WHrs,180W,,Nhựa,HD 720P,"Công nghệ khử tiếng ồn AI
Phần mềm DTS
Chứng nhận độ phân giải cao
Hỗ trợ Microsoft Cortana trường gần/trường xa",,4GB GDDR6,DDR5,,,,,
"Laptop Dell Inspiron 15 3530 (N5I5791W1) - (i5-1335U/16GB/512GB/15.6"" FHD 120Hz/Windows 11 + Office) - Chính hãng","16,790,000 ₫",Intel Core i5,i5 - 1335U,10,12,1.30 GHz,Turbo Boost 4.6 GHz,12MB,Card đồ hoạ Intel Iris Xe,GPU tích hợp,16GB,DDR4,3200 MHz,Không,16GB,512GB SSD,"Có thể tháo ra, lắp thanh khác tối đa 2 TB, Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)",1,15.6 inch,1920x1080,WVA,"LED-Backlit, 250 nit, Narrow Border",Không,120Hz,Backlight Keyboard,LED Trắng,Precision touchpad,"1 USB 3.2 Gen 1 Type-C
1 USB 2.0 ​
1 jack tai nghe
1 HDMI 1.4
1 khe thẻ SD","Wi-Fi 6
Bluetooth v5.3",Windows 11 Home,358.50 x 234.90 x 17.50 mm,1.65kg,"3 Cell, 41 Wh",,2024,Nhựa,HD,Loa kép 2 × 2W,Office Home & Student 2021 vĩnh viễn,,DDR4,,,,,
"Laptop Asus Gaming Vivobook 16X K3605ZC-RP564W (i5-12500H/16GB/512GB/RTX3050/16"" WUXGA/Win11/Đen) - Chính hãng","16,990,000 ₫",Intel Core i5,i5 - 12500H,12,16,2.5 GHz,4.5 GHz,18 MB,Intel® Iris® Xe,RTX 3050,16GB,DDR4,3200Mhz,None,Đang cập nhật,512GB SSD,,1,16 inch,1920x1200,IPS,"Tỷ lệ 16:10, IPS-level Panel, 300nits, 45% NTSC color gamut, Anti-glare display, TÜV Rheinland-certified",None,144Hz,Backlit Chiclet Keyboard with Num-key,,Multi-touch touchpad,"1x USB 3.2 Gen 1 Type-C support power delivery
2x USB 3.2 Gen 1 Type-A
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x DC-in
SD 4.0 card reader","Wi-Fi 6E
Bluetooth 5.3",Windows 11 Home,358.6 x 249.1 x 18.9 mm,1.80 kg,4 Cells 75WHrs,,,"LCD cover (Aluminum), Top case (Plastic)",720p HD camera ; With privacy shutter,SonicMaster,,,,,,,,
Laptop Dell Inspiron 16 5640 (N6I7512W1) (CORE 7 150U/16GB/1TB/MX570A 2G/16.0 INCH 2.5K/WIN11+OFFICE HS21/Xanh) - Chính hãng,"29,990,000 ₫",Intel Core i7,I7 - 150U,10,12,1.7GHz,4.7 GHz,12 MB,Intel UHD Graphics (Iris Xe Graphics chỉ hoạt động với RAM kênh đôi),GPU tích hợp,16GB,DDR5,5200MHz,None,32 GB,1TB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 2 TB)",1,16 inch,1920x1200,WVA,"Chống chói Anti Glare
Độ sáng 300 nits
WVA",None,60Hz,Chiclet Keyboard,Có đèn nền,Multi-touch touchpad,"USB Type-C (hỗ trợ Power Delivery và DisplayPort)
Jack tai nghe 3.5 mm
2 x USB 3.2
HDMI","Bluetooth v5.2
Wi-Fi 6E",Windows 11 Home Single Language,Dài 356.7 mm - Rộng 251.9 mm - Dày 17.95 mm,1.87kg,54 Whr,,2022,Vỏ kim loại,Full HD Webcam 1080p,Realtek Audio,,,,,,,,
"Laptop MSI Modern 15 B12MO-625VN - (i5-1235U/8GB/512GB/15.6"" FHD/Windows 11) - Chính hãng","10,490,000 ₫",Intel Core i5,i5 - 1235U,10,12,1.30 GHz,Turbo Boost 4.4 GHz,12MB,Intel Iris Xe Graphics,GPU tích hợp,8GB,DDR4,3200 MHz,None,Không hỗ trợ nâng cấp,512GB SSD,Nâng cấp SSD lên dung lượng cao hơn,1,15.6 inch,1920x1080,IPS,IPS 45% NTSC,None,60Hz,"Backlight Keyboard (Single-Color, White)",1 màu - Trắng,Multi-touch touchpad,"1x USB-C (USB3.2 Gen2 / DP)
1x USB-A USB3.2 Gen2
2x USB-A USB2.0
1x Micro SD Card Reader
1x HDMI (4K @ 30Hz)","Wi-Fi 6
Bluetooth v5.2",Windows 11,359 x 241 x 19.9 mm (Dài x Rộng x Dày),1.7kg,39.3 Wh,,2023,Nhựa,HD Webcam (720p Webcam),2 loa 2W,,,DDR4,,,,,
"Laptop MSI Modern 15 A11M-099VN (i5-1135G7/8GB/512GB/15.6""FHD/Win 10/Đen) - Chính hãng","29,090,000 ₫",Intel Core i5,i5 - 1135G7,4,8,2.4 GHz,4.2 GHz,8 MB,Intel Iris Xe Graphics,GPU tích hợp,8GB,DDR4,3200MHz,1 khe,Tối đa 64GB,512GB SSD,"Có 2 khe M.2 SSD, hỗ trợ nâng cấp",1,15.6 inch,1920x1080,IPS,"Viền mỏng 5.7mm, độ phủ màu 45% NTSC",Không,60Hz,Bàn phím tiêu chuẩn,Có (màu trắng),Multi-touch touchpad,"1 x USB Type-C (USB4 / DP / Thunderbolt™4) with PD charging
1 x USB Type-A USB3.2 Gen1
2 x USB Type-A USB3.2 Gen2
1 x HDMI (hỗ trợ 4K @ 60Hz)
1 x MicroSD Card Reader
1 x Jack tai nghe 3.5mm","Wi-Fi 6
Bluetooth v5.1",Windows 10 Home,356.8 x 233.75 x 16.9 mm,1.6 kg,"3 cell, 52Whr",,2021,Vỏ nhôm nguyên khối,Webcam HD (30fps@720p),"2 loa 2W, hỗ trợ Nahimic 3 Audio",,,,FHD,,,,
"Laptop ASUS Vivobook 14X M1403QA-LY024W, R7-5800H/8GB/512GB/14.0-WUXGA/Win11/SILVER - Chính hãng","15,990,000 ₫",AMD Ryzen 7,R7 - 5800H,8,16,3.2 GHz,4.4 GHz,16MB,AMD Radeon™ Vega 7,GPU tích hợp,8GB,DDR4,3200 MHz,1 khe,32 GB,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,14 inch,1920x1200,IPS,Tấm nền IPS,None,60Hz,Bàn phím tiêu chuẩn,Đang cập nhật,Multi-touch touchpad,"1x USB 2.0 Loại A
1x USB 3.2 Thế hệ 1 Loại C
2x USB 3.2 Thế hệ 1 Loại A
1x HDMI 1.4
1x Jack 3,5 mm
1x Nguồn vào DC","Wi-Fi 6
Bluetooth v5.0",Windows 11 Home,31.71 x 22.20 x 1.99 ~ 1.99 cm,1.6kg,"3-cell Li-ion, 50WHrs, 3S1P",,2023,Vỏ nhựa,720p HD privacy camera,Asus SonicMaster,,,DDR4,,,,,
Laptop Lenovo ThinkBook 16 G6 ABP (21KK005XVN) (R5-7530U/16GB/512GB/16 inch WQXGA-IPS/Win11/Xám) - Chính hãng,"16,490,000 ₫",AMD Ryzen 5,7530U,6,12,2.0 GHz,4.5 GHz,16 MB,AMD Radeon Graphics,,16GB,DDR4,3200 MHz,1 khe,64 GB,512GB SSD,,1,16 inch,2560x1600,IPS,Anti-glare,,60Hz,Bàn phím tiêu chuẩn,LED,Multi-touch touchpad,"2 × USB 3.2 Gen 1
2 × USB 3.2 Gen 2
1 × HDMI 2.1
1 × Jack 3.5 mm
1 × RJ45 Gigabit Ethernet
1 × Power Connector","Bluetooth v5.1
Wifi 6",Windows 11 Home Single Language,356 x 253.5 x 17.5 mm,1.7 kg,71 Wh,65 W,2024,Hợp kim nhôm,FHD 1080p,,,,,,,,,
"Laptop HUAWEI MateBook D 14 BE (i3-1215U/8GB/256GB/14"" FHD/Windows 11) - Chính hãng","8,990,000 ₫",Intel Core i3,i3 - 1215U,6,8,1.2 GHz,4.4 GHz,10MB,Card tích hợp - Intel UHD Graphics,GPU tích hợp,8GB,DDR4,2666 MHz,Không,Không hỗ trợ nâng cấp,256GB SSD,SSD tối đa 4TB,1,14 inch,1920x1200,IPS,"Tỷ lệ khung hình 16:9
Độ sáng Tối đa 250 nits
Gam màu 45% NTSC
Tỷ lệ Tương phản 800:1",None,60Hz,Bàn phím tiêu chuẩn,Không có đèn nền,Multi-touch touchpad,"USB-C × 1 (Hỗ trợ dữ liệu, sạc và cổng màn hình)
USB 3.2 Thế hệ 1 × 2
USB 2.0 × 1
HDMI × 1
RJ45 × 1
Jack cắm tai nghe và mic 3.5 mm tích hợp 2 trong 1 × 1","IEEE
Bluetooth v5.2",Windows 11 Home,325 x 218 x 17.2 mm,1.39kg,42 Wh,65 W USB-C,2023,Kim loại,HD 720p,"2 loa, 2 microphones",,,DDR4,,,,,
Laptop Dell Inspiron 3530 (71043887) (i5-1334U/8GB/512GB/15.6 inch FHD/Win 11 + Office/Đen) - Chính hãng,"14,990,000 ₫",Intel Core i5,1334U,10,12,1.3 GHz,4.6 GHz,12MB,VGA onboard,Intel UHD Graphics,8GB,DDR4,2666 MHz,2 khe,,512GB SSD,,1,15.6 inch,1920×1080,,250 nits,,120Hz,English International Non-Backlit Keyboard,Không,Cảm ứng đa điểm,"1 x HDMI 1.4 port
1 x USB 3.2 Gen 1 port
1 x USB 2.0 port
1 x USB 3.2 Gen 1 Type-C port
1 x SD-card slot
1 x Universal audio port","1x1 WiFi
Bluetooth v5.2",Windows 11,358 x 235 x 16.69 mm,1.66 Kg,3 cell / 41 Whr,,,Vỏ nhựa,,,Office Home & Student,,,,,,,
"Laptop Gaming MSI Bravo 15 B7ED-010VN (R5-7535HS/16GB/512GB/RX 6550M/15.6"" FHD 144Hz/Windows 11) - Chính hãng","13,990,000 ₫",AMD Ryzen 5,R5 - 7535HS,6,12,3.30 GHz,4.55 GHz,16 MB,AMD Radeon™ Graphics,RX 6550M,16GB,DDR5,4800MHz,Không,64GB,512GB SSD,2 khe M.2 (bao gồm 1 khe lắp sẵn).,1,15.6 inch,1920x1080,IPS,,Không,144Hz,Bàn phím tiêu chuẩn,Đơn sắc (xanh lam),Multi-touch touchpad,"1x Type-C (USB3.2 Gen1 / DP)
2x Type-A USB3.2 Gen1
1x Type-A USB2.0
1x HDMI™ 2.1 (8K @ 60Hz)
1x RJ45
1x Mic-in/Headphone-out Combo Jack","Wi-Fi 6E
Bluetooth v5.3",Windows 11 Home,359 x 259 x 24.95 mm,2.35kg,"3 cell, 53.5 Wh",180W,2023,Vỏ nhựa,HD Camera,Hi-Res Audio,,4GB GDDR6,DDR5,,,,,
Laptop ASUS VivoBook Pro M3500QC-L1105T (R5-5600H/8GB/512GB PCIE/VGA 4GB RTX3050/15.6 FHD OLED/WIN10/Xanh) - Chính hãng,"18,990,000 ₫",AMD Ryzen 5,R5 - 5600H,6,12,3.3GHz,4.2GHz,16MB,AMD Radeon™ Graphics,RTX 3050,8GB,DDR4,3200 MHz,None,Không hỗ trợ nâng cấp,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 2 TB)",1,15.6 inch,1920x1080,OLED,"Độ sáng 600 nits
Thời gian phản hồi 0.2 ms
Màn hình bảo vệ mắt - EYE CARE
Chuẩn DisplayHDR True Black 600",Không,60Hz,Backlit Chiclet Keyboard,Có đèn nền,Multi-touch touchpad,"1x USB 3.2 Gen 1 Type-C
1x USB 3.2 Gen 1 Type-A
2x USB 2.0 Type-A
1x HDMI 1.4
1x DC-in
1x 3.5mm Combo Audio Jack
FingerPrint","Wi-Fi 6
Bluetooth v5.0",Windows 10 Home SL,359.8 x 235.3 x 18.9 ~ 19.9 (mm),1.65kg,3 Cells 63WHrs,,2021,Vỏ nhựa - nắp lưng bằng kim loại,HD 720p,Harman Kardon,,,,,,,,
"Laptop Dell Inspiron 14 5440 (71034770) (Core 7 150U/16GB/1TB/MX570 2G/14.0"" 2.2K/Win11 + Office HS21/Xanh) - Chính hãng","26,990,000 ₫",Intel Core i7,i7 - 150U,10 nhân,12 luồng,1.8Ghz,5.4 GHz,12 MB,Intel UHD Graphics,MX570,16GB,DDR5,5200MHz,None,Đang cập nhật,1TB SSD,Đang cập nhật,1,14 inch,2240x1400,WVA,Anti-Glare Non-Touch 300nits Comfort View Plus Support 16:10,Touch,60Hz,Bàn phím tiêu chuẩn,Có đèn nền,Precision touchpad,"2 cổng USB 3.2 Gen 1 (5 Gbps)
1 USB 3.2 Gen 2 (10 Gbps) Type-C ® với cổng Power Delivery và
tai nghe DisplayPort™ 1 (kết hợp tai nghe và micrô)
1 cổng HDMI 1.4 *
1 cổng chuyển đổi nguồn","Wi-Fi 6
Bluetooth 5.3",Windows 11,17.31mm x 314.00mm x 226.15mm,1.56kg,4 Cell - 54Wh,,2024,Aluminium,"Camera FHD-RGB màn hình rộng 1080p ở tốc độ 30 khung hình / giây, Micrô hai dãy","Loa âm thanh nổi có Waves MaxxAudio Pro và Dolby Atmos Core, tổng công suất 2W x 2 = 4W",,,,,,,,
Laptop Dell Vostro 15 3530 (80GG93) (I5-1335U/16GB/512GB/15.6FHD 120HZ/Win11+OFFICEHS21/Xám) - Chính hãng,"15,490,000 ₫",Intel Core i5,i5 -1335U,10,12,1.3Ghz,4.6 GHz,12 MB Intel® Smart Cache,Card tích hợp - Intel UHD Graphics,GPU tích hợp,16GB,DDR4,3200 MHz,None,Đang cập nhật,512GB SSD,"(Có thể tháo ra, lắp thanh khác tối đa 1 TB)",1,15.6 inch,1920x1080,WVA,250 nits WVA Anti- Glare LED Backlit Narrow Border Display,None,120Hz,Bàn phím tiêu chuẩn,,Multi-touch touchpad,"1 x USB 3.2 Gen 1 port
1 x USB 2.0 port
1 x USB 3.2 Gen 1 Type-C® port
1 x USB 3.2 Gen 1 Type-C
1 x HDMI 1.4 port
1 x Universal audio port
1 x Ethernet RJ-45","WiFi
Bluetooth",Windows 11 Home,16.96x358.5x235.6 mm,1.9 kg,"3 Cell, 41 Wh",,,,720p at 30 fps HD camera Single integrated microphone,2W Dual stereo speakers,,,,,,,,
"Laptop Gaming MSI GF63 12UCX-841VN (i5-12450H/8GB/512GB/RTX 2050/15.6"" FHD 144Hz/Windows 11) - Chính hãng","14,390,000 ₫",Intel Core i5,i5 - 12450H,8,12,2.00 GHz,4.40 GHz,12 MB,,RTX 2050,8GB,DDR4,3200Mhz,1 khe,64GB,512GB SSD,Có thể nâng cấp SSD lên dung lượng cao hơn. Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng.,1,15.6 inch,1920x1080,IPS,"Thin Bezel, 45%NTSC",None,144Hz,Backlight Keyboard,LED đỏ,Multi-touch touchpad,"1x Type-C USB3.2 Gen1 (support DisplayPort)
3x Type-A USB3.2 Gen1
1x (4K @ 30Hz) HDMI
1x RJ45
1x Mic-in
1x Headphone-out","Wi-Fi 6
Bluetooth v5.2",Windows 11 Home,359 x 254 x 21.7 mm,1.86kg,52.4 Wh,,2023,Mặt lưng và chiếu nghỉ tay kim loại,HD Camera,2 loa 2W,,4GB GDDR6,DDR4,,,,,
"Laptop ASUS TUF Gaming F15 FX507ZU4-LP040W (i7-12700H/16GB/512GB/RTX 4050/15.6"" FHD/Windows 11) - Chính hãng","25,390,000 ₫",Intel Core i7,i7 - 12700H,14,20,2.3 GHz,4.7 GHz,24MB,Card tích hợp - Intel Iris Xe Graphics,RTX 4050,16GB,DDR4,3200 MHz,1 khe,32GB,512GB SSD,"Nâng SSD mặc định lên dung lượng cao hơn, tối đa 2TB.",1,15.6 inch,1920x1080,IPS,"Màn hình chống chói
sRGB:100%, Adobe:75.35%
G-Sync
MUX Switch + NVIDIA Advanced Optimus",None,144Hz,"Bàn phím tiêu chuẩn, Backlit Chiclet Keyboard",Bàn phím Chiclet Có đèn nền RGB,Multi-touch touchpad,"1 giắc cắm âm thanh combo 3,5mm
1x HDMI 2.1 FRL
2 x USB 3.2 Thế hệ 1 Loại A
1x USB 3.2 Thế hệ 2 Loại C hỗ trợ DisplayPort / power delivery / G-SYNC
1 x cổng RJ45 LAN
1 x Thunderbolt 4 hỗ trợ DisplayPort","Wi-Fi 6
Bluetooth 5.2",Windows 11 Home,35.4 x 25.1 x 2.24 ~ 2.49 cm,2.20kg,90WHrs,,2023,"Vỏ nhựa, nắp lưng bằng kim loại",Máy ảnh HD 720P,"Âm thanh của Dolby Atmos
AI mic khử tiếng ồn
Chứng nhận Màn hình Độ phân giải cao
Micrô array tích hợp
Hệ thống 2 loa",,6GB GDDR6,DDR4,,,,,
"Laptop Asus ROG Zephyrus M16 GU604VI-NM779W (i9-13900H/32GB/1TB/ RTX 4070 8GB/16"" QHD+ MiniLED/Windows 11) – Chính hãng",Giá: Liên hệ,Intel Core i9,i9 - 13900H,14,20,2.6 GHz,5.4 GHz,24MB,NVIDIA® GeForce RTX™ 4070 8GB GDDR6,RTX 4070,32GB,DDR5,4800MHz,None,64GB,1TB SSD,PCIe® 4.0 NVMe™ M.2 SSD,1,16 inch,2560x1600,Mini Led,"Màn hình ROG Nebula HDR
Mini LED
Màn hình chống chói
DCI-P3: 100%
Thời gian đáp ứng: 3ms
G-Sync
Đạt chuẩn Pantone Validated
MUX Switch + NVIDIA® Advanced Optimus
Hỗ trợ Dolby Vision HDR: Có",None,240Hz,Bàn phím tiêu chuẩn,Đèn bàn phím chuyển màu RGB,Multi-touch touchpad,"1 Jack cắm âm thanh combo 3.5mm
1x HDMI 2.1 FRL
2x USB 3.2 thế hệ 2 Type-A
1x USB 3.2 thế hệ 2 Type-C hỗ trợ DisplayPort™/Power Delivery
1x cổng Thunderbolt™ 4 hỗ trợ DisplayPort™ / power delivery
1 x đầu đọc thẻ (microSD) (UHS-II, 312MB/s)","Wi-Fi 6E
Bluetooth 5.2",Windows 11 Home Single Language,"35.5 x 24.6 x 2.11 ~ 2.29 cm
2.30 Kg",2.1 kg,"4-cell Li-ion, 90 Wh",280 W,2023,Nắp lưng bằng kim loại - Chiếu nghỉ tay Nhôm Magie,Camera hồng ngoại IR độ phân giải 1080P FHD hỗ trợ Windows Hello,"Công nghệ Smart AMP
3 microphones
Dolby Atmos",,,DDR5,,,,,
"Laptop HP Pavilion 15-eg2083TU (7C0W9PA) - (i5-1240P/8GB/512GB/15.6"" FHD/Windows 11) - Chính hãng","14,490,000 ₫",Intel Core i5,i5 - 1240P,12,16,1.70 GHz,Turbo Boost 4.4 GHz,12 MB,Intel Iris Xe Graphics,GPU tích hợp,8GB,DDR4,3200 MHz,None,32GB,512GB SSD,"SSD không có khe bổ sung, nâng cấp khe mặc định lên bộ nhớ cao hơn.",1,15.6 inch,1920x1080,IPS,"Tấm nền IPS
45% NTSC
Độ sáng tối đa 250 nits",None,60Hz,Bàn phím tiêu chuẩn,Không,Multi-touch touchpad,"1 USB-C 10Gbps (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge);
2 USB-A 5Gbps;
1 AC smart pin;
1 HDMI 2.1;
1 cổng tai nghe","Wi-Fi 6
Bluetooth v5.3",Windows 11 Home,36.02 x 23.4 x 1.79 cm,1.74kg,"3-cell, 41 Wh",,2022,Mặt lưng và khung bàn phím bằng kim loại.,Camera góc rộng HD 720p,2 loa,,,DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB),,,,,
"Laptop ASUS Vivobook X415EA-EK2043W (i3-1115G4/8GB/256GB/14"" FHD/Windows 11) - Chính hãng","7,990,000 ₫",Intel Core i3,i3 - 1115G4,2,4,3.0 GHz,4.1 GHz,6MB,Intel UHD Graphics,GPU tích hợp,8GB,DDR4,3200 MHz,1 khe,16GB,256GB SSD,"Nâng cấp bộ nhớ mặc định lên dung lượng cao hơn.
Có khay STD 2.5” SATA HDD.",1,14 inch,1920x1080,LED,"Đèn nền LED
Độ sáng 220nits
Dải màu 45% NTSC
Màn hình chống chói",Không,60Hz,Bàn phím tiêu chuẩn,Đang cập nhật,Multi-touch touchpad,"1x USB 3.2 Gen 1 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 2.0 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in","Wi-Fi 5
Bluetooth 5.1",Windows 11 Home,32.54 x 21.60 x 1.99 cm,1.60kg,37WHrs,,2022,Nhựa,HD webcam,"220 nits
Chống chói Anti Glare
LED Backlit",,,DDR4,,,,,
iMac M4 24 inch 2024 8CPU 8GPU 16GB/256GB - Chính hãng Apple Việt Nam,"33,590,000 ₫",Apple M4,Apple - M4,8,8,,Đang cập nhật,Đang cập nhật,8-core GPU tích hợp,GPU tích hợp,16GB,,Đang cập nhật,Không,24GB,256GB SSD,512GB hoặc 1TB,1,24 inch,4480x2520,Retina 4.5K,True Tone,Không,60Hz,Đang cập nhật,Đang cập nhật,Đang cập nhật,2 cổng Thunderbolt / USB 4 hỗ trợ,Wi-Fi 6E Bluetooth 5.3,macOS,547 x 461 x 147 (mm),4.42kg,Đang cập nhật,Adapter 143W,2024,,"Camera 12MP Center Stage có hỗ trợ chế độ Desk View
Quay video HD 1080p",Hệ thống âm thanh sáu loa có độ trung thực cao với loa trầm khử lực,"App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, News, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather",,,,,,,
