Tên sản phẩm,Giá bán,Thương hiệu,Bảo hành,Mô tả bảo hành,CPU,NPU,Chip đồ họa,Màn hình,Webcam,Ram,Lưu trữ,Cổng kết nối,Kết nối không dây,Bàn phím,Hệ điều hành,Kích thước,Pin,Khối lượng,Bảo mật,Đèn LED trên máy,Trong hộp có gì,Series model,Tên,Part-number,Màu sắc,Nhu cầu,Âm thanh,Chất liệu,Dung lượng RAM,Dung lượng SSD,"Kích thước, khối lượng",Công suất pin,Cổng HDMI,Tính năng đặc biệt
Laptop HP Envy 16-h0206TX,62.990.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i9-12900H ( 2.5 GHz - 5.0 GHz / 24MB / 14 nhân, 20 luồng ), Intel EVO",,GeForce RTX™ 3060 6GB GDDR6 Intel® Iris® Xe Graphics,"16"" ( 3840 x 2400 ) WQUXGA OLED , cảm ứng , 500 nits , 100% DCI-P3 , Màn hình gương",HD webcam,2 x 8GB DDR5 4800MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.3","Bàn phím thường , không phím số , LED",Windows 11 Home SL,35.74 x 25.18 x 1.99 cm,"6 cell 83 Wh , Pin liền",2.3 kg,Khuôn mặt,không đèn,"Adapter, dây nguồn,…",HP Envy,Envy 16-h0206TX (7C0T3PA),7C0T3PA,Bạc,"Doanh nhân, Văn phòng",HP Audio Boost,,,,,,,
Laptop HP Envy 16-h0205TX,65.390.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i9-12900H ( 2.5 GHz - 5.0 GHz / 24MB / 14 nhân, 20 luồng ), Intel EVO",,GeForce RTX™ 3060 6GB GDDR6 Intel® Iris® Xe Graphics,"16"" ( 3840 x 2400 ) WQUXGA OLED , cảm ứng , 500 nits , 100% DCI-P3 , Màn hình gương",HD webcam,2 x 16GB DDR5 4800MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
2 x Thunderbolt 4
1 x micro SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , LED",Windows 11 Home SL,35.74 x 25.18 x 1.99 cm,"6 cell 83 Wh , Pin liền",2.3 kg,Khuôn mặt,không đèn,"Adapter, dây nguồn,…",HP Envy,Envy 16-h0205TX (7C0T2PA),7C0T2PA,Bạc,Gaming,HP Audio Boost,,,,,,,
Laptop HP Pavilion 15-eg2084TU,18.790.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1240P ( 1.7 GHz - 4.4 GHz / 12MB / 12 nhân, 16 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 60Hz , không cảm ứng , 250 nits , 45% NTSC",HD webcam,2 x 4GB DDR4 3200MHz,256GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số",Windows 11 Home SL,36.02 x 23.4 x 1.79 cm,"3 cell 41 Wh , Pin liền",1.7 kg,,không đèn,"Adapter, dây nguồn,…",HP Pavilion,Pavilion 15-eg2084TU (7C0Q6PA),7C0Q6PA,Vàng đồng,"Doanh nghiệp, Học sinh - Sinh viên, Văn phòng",HP Audio Boost,,,,,,,
Laptop HP Pavilion 15-eg2081TU,20.990.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1240P ( 1.7 GHz - 4.4 GHz / 12MB / 12 nhân, 16 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 60Hz , không cảm ứng , 250 nits , 45% NTSC",HD webcam,2 x 8GB DDR4 3200MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số",Windows 11 Home SL,36.02 x 23.4 x 1.79 cm,"3 cell 41 Wh , Pin liền",1.7 kg,,không đèn,"Adapter, dây nguồn,…",HP Pavilion,Pavilion 15-eg2081TU (7C0Q4PA),7C0Q4PA,Vàng,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên",HP Audio Boost,,,,,,,
Laptop HP Pavilion 15-eg2088TU,25.290.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-1260P ( 2.1 GHz - 4.7 GHz / 18MB / 12 nhân, 16 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 60Hz , không cảm ứng , 250 nits , 45% NTSC",HD webcam,2 x 8GB DDR4 3200MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số",Windows 11 Home SL,36.02 x 23.4 x 1.79 cm,"3 cell 41 Wh , Pin liền",1.7 kg,,không đèn,"Adapter, dây nguồn,…",HP Pavilion,Pavilion 15-eg2088TU (7C0R0PA),7C0R0PA,Gold,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên",HP Audio Boost,,,,,,,
Laptop HP Pavilion X360 14-ek0133TU,21.190.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1235U ( 1.3 GHz - 4.4 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1920 x 1080 ) Full HD IPS , 60Hz , cảm ứng , Màn hình gương",HD webcam,16GB Onboard DDR4 3200MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x micro SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , LED",Windows 11 Home SL,32.2 x 21 x 1.99 cm,"3 cell 43 Wh , Pin liền",1.5 kg,Vân tay,không đèn,"Adapter, dây nguồn,…",HP Pavilion,Pavilion X360 14-ek0133TU (7C0P7PA),7C0P7PA,Gold,"Học sinh - Sinh viên, Doanh nghiệp",,,,,,,,
Laptop HP Pavilion 14-dv2071TU,25.190.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-1255U ( 1.7 GHz - 4.7 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1920 x 1080 ) Full HD IPS , 60Hz , không cảm ứng , 250 nits , 45% NTSC",HD webcam,2 x 8GB DDR4 3200MHz ( 2 Khe cắm,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , không đèn",Windows 11 Home SL,32.5 x 21.66 x 1.70 cm,"3 cell 41 Wh , Pin liền",1.4 kg,,không đèn,"Adapter, dây nguồn,…",HP Pavilion,Pavilion 14-dv2071TU (7C0W0PA),7C0W0PA,Gold,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên",HP Audio Boost,,,,,,,
Laptop HP 14s-DQ5100TU,17.690.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1235U ( 1.3 GHz - 4.4 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1920 x 1080 ) Full HD IPS , 60Hz , 250 nits , 45% NTSC , Màn hình chống lóa",HD webcam,2 x 4GB GDDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),256GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0","Bàn phím thường , không phím số , không đèn",Windows 11 Home SL,32.4 x 22.5 x 1.79 cm,"3 cell 41 Wh , Pin liền",1.5 kg,Không,không đèn,,HP 14s,14s-DQ5100TU (7C0Q0PA),7C0Q0PA,Bạc,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên",,,,,,,,
Laptop HP Victus 16-e1107AX,23.490.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 5 6600H ( 3.3 GHz - 4.5 GHz / 16MB / 6 nhân, 12 luồng ), AMD",,GeForce RTX™ 3050 4GB GDDR6 AMD Radeon 660M,"16.1"" ( 1920 x 1080 ) Full HD IPS , 144Hz , 250 nits , 45% NTSC , Màn hình chống lóa",HD webcam,1 x 8GB GDDR5 4800MHz ( 2 Khe cắm,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , LED",Windows 11 Home SL,37 x 26 x 2.35 cm,"4 cell 70 Wh , Pin liền",2.5 kg,Không,không đèn,"Adapter, dây nguồn,…",HP Victus,Victus 16-e1107AX (7C140PA),7C140PA,Đen,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên, Gaming",HP Audio Boost,,,,,,,
Laptop HP EliteBook X360 1040 G9,49.990.000₫,HP,36 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-1255U ( 1.7 GHz - 4.7 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1920 x 1200 ) WUXGA IPS , 60Hz , cảm ứng , Màn hình chống lóa",HD webcam,16GB Onboard DDR5 4800MHz,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , LED",Windows 11 Pro,31.56 x 22.56 x 1.92 cm,"3 cell 51 Wh , Pin liền",1.4 kg,Vân tay,không đèn,,HP Elitebook,EliteBook X360 1040 G9 (6Z982PA),6Z982PA,Bạc,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Acer Aspire 3 A315-59-51X8,14.790.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1235U ( 1.3 GHz - 4.4 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® UHD Graphics,"15.6"" ( 1920 x 1080 ) Full HD 60Hz , không cảm ứng , Acer ComfyView",HD webcam,1 x 8GB DDR4 2400MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"3 x USB 3.2
Audio combo
1 x HDMI
LAN 1 Gb/s",,"Bàn phím thường , có phím số",Windows 11 Home SL,36.29 x 24.126 x 1.99 cm,"3 cell 40 Wh , Pin liền",1.7 kg,,không đèn,,Acer Aspire,Aspire 3 A315-59-51X8 (NX.K6TSV.00F),NX.K6TSV.00F,Bạc,"Học sinh - Sinh viên, Văn phòng, Doanh nghiệp",,,,,,,,
Laptop HP EliteBook x360 1040 G8,50.990.000₫,HP,36 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-1255U ( 1.7 GHz - 4.7 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1920 x 1200 ) WUXGA IPS , 60Hz , cảm ứng , Màn hình chống lóa",HD webcam,16GB Onboard DDR5 4800MHz Hỗ trợ tối đa 16GB ),1TB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , LED",Windows 11 Pro,31.56 x 22.56 x 1.92 cm,"3 cell 51 Wh , Pin liền",1.3 kg,Không,không đèn,,HP Elitebook,EliteBook x360 1040 G8 (6Z983PA),6Z983PA,Bạc,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên",,,,,,,,
Laptop HP EliteBook x360 1040 G8,44.990.000₫,HP,36 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1235U ( 1.3 GHz - 4.4 GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1920 x 1200 ) WUXGA IPS , 60Hz , cảm ứng , Màn hình chống lóa",HD webcam,16GB Onboard DDR5 4800MHz Hỗ trợ tối đa 16GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
2 x Thunderbolt 4
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , LED",Windows 11 Pro,31.56 x 22.56 x 1.92 cm,"3 cell 51 Wh , Pin liền",1.3 kg,Không,không đèn,,HP Elitebook,EliteBook x360 1040 G8 (6Z981PA),6Z981PA,Bạc,"Văn phòng, Doanh nghiệp, Học sinh - Sinh viên",,,,,,,,
Laptop Dell Inspiron 14 T7420 N4I5021W,23.190.000₫,Dell,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1235U ( 1.3 GHz - 4.4GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® UHD Graphics,"14"" ( 1920 x 1200 ) WUXGA 16:10 , WVA , 60Hz , cảm ứng , 250 nits , 45% NTSC , Màn hình chống lóa",FHD webcam,1 x 8GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB Type C / DisplayPort / Power Delivery
1 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , không phím số , LED",Windows 11 Home SL + Office Home & Student 2021,31.40 x 22.75 x 1.78 cm,"4 cell 54 Wh , Pin liền",1.6 kg,Vân tay,không đèn,,Dell Inspiron,Inspiron 14 T7420 N4I5021W,N4I5021W,Bạc,Doanh nghiệp,Realtek Audio,,,,,,,
Laptop Acer Nitro AN515-58-769J,30.390.000₫,Acer,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-12700H ( 2.3 GHz - 4.7 GHz / 24MB / 14 nhân, 20 luồng ), Non-EVO",,GeForce RTX™ 3050 4GB GDDR6 Intel® UHD Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 144Hz , Acer ComfyView",HD webcam,8GB Onboard DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 32GB ),"512GB SSD M.2 NVMe ( 1 x 2.5"" SATA /( 2 x M.2 NVMe )","3 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.1","Bàn phím thường , có phím số , RGB",Windows 11 Home,36.04 x 27.109 x 2.59 cm,"4 cell 57 Wh , Pin liền",2.5 kg,,,,Acer Nitro,Nitro AN515-58-769J (NH.QFHSV.003),NH.QFHSV.003,Đen,"Gaming, Văn phòng",Acer Purified Voice,,,,,,,
Laptop HP ProBook 450 G9,25.490.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7 1260P ( 2.1 GHz - 4.7 GHz / 18MB / 12 nhân, 16 luồng ), Non-EVO",,Onboard graphics Intel® UHD Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 60Hz , không cảm ứng , Màn hình chống lóa",HD webcam,1 x 8GB DDR4 3200MHz ( 2 Khe cắm,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C
3 x USB 3.1
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số , LED",Windows 11 Home,35.94 x 23.39 x 1.99 cm,"3 cell 51 Wh , Pin liền",1.7 kg,Vân tay,không đèn,,HP Probook,ProBook 450 G9 (6M103PA),6M103PA,Bạc,"Doanh nghiệp, Học sinh - Sinh viên, Doanh nhân, Văn phòng",,,,,,,,
MacBook Pro M2 2022 13 inch,40.990.000₫,Apple,12 tháng,,Apple M2,,,"13.3"" ( 2560 x 1600 ) | Retina
FHD webcam",,,,"2 x Thunderbolt 3 , 1 x 3.5 mm , 1 x SDXC Card Slot","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0",,macOS,,,,,,,MacBook Pro,"MacBook Pro 13.3"" Z16U00034",,Silver,"Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Doanh nhân",,,16GB,512GB SSD,1.4 kg | 30.41 x 21.24 x 1.56 cm,58 Wh,1 x HDMI,"Touch Bar, Touch ID, Ambient Light sensor"
MacBook Air M2 2022 13 inch,33.290.000₫,Apple,12 tháng,,Apple M2 ( 8-Core CPU / 10-Core GPU ),,,"13.6"" ( 2560 x 1664 ) | Liquid Retina
FHD webcam",,,,"2 x Thunderbolt 3 , 1 x 3.5 mm","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0",,macOS,,,,,,,MacBook Air,"MacBook Air 13.6"" Z15X0003L",,Silver,"Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Doanh nhân",,,16GB,512GB SSD,1.2 kg | 30.41 x 21.5 x 1.13 cm,53 Wh,,
MacBook Air M2 2022 13 inch,33.490.000₫,Apple,12 tháng,,Apple M2 ( 8-Core CPU / 8-Core GPU ),,,"13.6"" ( 2560 x 1664 ) | Liquid Retina
FHD webcam",,,,"2 x Thunderbolt 3 , 1 x 3.5 mm","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0",,macOS,,,,,,,MacBook Air,"MacBook Air 13.6"" Z16000051",,Midnight,"Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Doanh nhân",,,16GB,256GB SSD,1.2 kg | 30.41 x 21.5 x 1.13 cm,53 Wh,,
MacBook Pro M2 2022 13 inch,33.890.000₫,Apple,12 tháng,,Apple M2 ( 8-Core CPU / 10-Core GPU ),,,"13.3"" ( 2560 x 1600 ) | Retina
FHD webcam",,,,"2 x Thunderbolt 3 , 1 x 3.5 mm","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0",,macOS,,,,,,,MacBook Pro,"Macbook Pro 13.3"" Z16T0003V",,Silver,"Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Doanh nhân",,,16GB,256GB SSD,1.4 kg | 30.41 x 21.24 x 1.56 cm,58 Wh,,"Touch Bar, Touch ID, Ambient Light sensor"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop HP Elitebook 630 G9,27.790.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7-1255U ( 1.7 GHz - 4.7GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"13.3"" ( 1920 x 1080 ) Full HD IPS , 60Hz",HD webcam,1 x 16GB DDR4 3200MHz ( 2 Khe cắm,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"2 x USB 3.2
1 x Thunderbolt 4
Audio combo
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , LED",Windows 11 Home SL,30.69 x 20.84 x 1.59 cm,"3 cell 42 Wh , Pin liền",1.3 kg,Vân tay,,,HP Elitebook,Elitebook 630 G9 (6M146PA),6M146PA,Bạc,,,,,,,,,
Laptop HP 14s-dq5052TU,19.890.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7 1260P ( 2.1 GHz - 4.7 GHz / 18MB / 12 nhân, 16 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1366 x 768 ) WXGA 60Hz , 250 nits , 45% NTSC",HD webcam,2 x 4GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),"512GB SSD M.2 NVMe ( 1 x 2.5"" SATA /( 1 x M.2 NVMe )","1 x USB Type C
2 x USB 3.1
1 x SD card slot
Audio combo
1 x HDMI","WiFi 802.11ac , Bluetooth 5.0","Bàn phím thường , LED",Windows 11 Home,32.4 x 22.5 x 1.79 cm,"3 cell 41 Wh , Pin liền",1.4 kg,,,"Adapter, Dây Nguồn",HP 14s,14s-dq5052TU (6T6R2PA),6T6R2PA,Bạc,,,,,,,,,
Laptop HP 14s-dq5053TU,17.690.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1235U ( 1.3 GHz - 4.4GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"14"" ( 1366 x 768 ) WXGA 60Hz , 250 nits , 45% NTSC",HD webcam,2 x 4GB DDR4 3200MHz ( 2 Khe cắm / Hỗ trợ tối đa 16GB ),512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C
2 x USB 3.1
1 x SD card slot
Audio combo
1 x HDMI","WiFi 802.11ac , Bluetooth 5.0","Bàn phím thường , LED",Windows 11 Home,32.4 x 22.5 x 1.79 cm,"3 cell 41 Wh , Pin liền",1.4 kg,,,"Adapter, Dây Nguồn",HP 14s,14s-dq5053TU (6R9M6PA),6R9M6PA,Bạc,,,,,,,,,
Laptop HP ProBook 440 G9,21.490.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i5-1235U ( 1.3 GHz - 4.4GHz / 12MB / 10 nhân, 12 luồng ), Non-EVO",,Onboard graphics Intel® UHD Graphics,"14"" ( 1920 x 1080 ) Full HD IPS , 60Hz , không cảm ứng",HD webcam,1 x 8GB DDR4 3200MHz ( 2 Khe cắm,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
3 x USB 3.1
1 x 3.5 mm
1 x HDMI
LAN 1 Gb/s","WiFi 802.11ax (Wifi 6) , Bluetooth","Bàn phím thường , không phím số , LED",Windows 11 Home,"32,19 x 21,39 x 1,99 cm","3 cell 51 Wh , Pin liền",1.4 kg,Vân tay,,"Adapter, dây nguồn,…",HP Probook,ProBook 440 G9 (6M0X3PA),6M0X3PA,Bạc,"Văn phòng, Học sinh - Sinh viên, Doanh nhân",,,,,,,,
MacBook Pro M2 2022 13 inch,39.300.000₫,Apple,12 tháng,,Apple M2 ( 8-Core CPU / 10-Core GPU ),,,"13.3"" ( 2560 x 1600 ) | Retina
FHD webcam",,,,"2 x Thunderbolt , 1 x 3.5 mm , 1 x SDXC Card Slot","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0",,macOS,,,,,,,MacBook Pro,"Macbook Pro 13.3"" MNEQ3SA/A",,Silver,"Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Doanh nhân",,,8GB,512GB SSD,1.4 kg | 30.41 x 21.24 x 1.56 cm,53 Wh,1 x HDMI,
MacBook Pro M2 2022 13 inch,30.990.000₫,Apple,12 tháng,,Apple M2 ( 8-Core CPU / 10-Core GPU ),,,"13.3"" ( 2560 x 1600 ) | Retina
FHD webcam",,,,"2 x Thunderbolt , 1 x 3.5 mm , 1 x SDXC Card Slot","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0",,macOS,,,,,,,MacBook Pro,"Macbook Pro 13.3"" MNEP3SA/A",,Silver,"Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Doanh nhân",,,8GB,256GB SSD,1.4 kg | 30.41 x 21.24 x 1.56 cm,53 Wh,1 x HDMI,
MacBook Air M2 2022 13 inch,29.190.000₫,Apple,12 tháng,,Apple M2 ( 8-Core CPU / 10-Core GPU ),,,"13.6"" ( 2560 x 1664 ) | Liquid Retina
FHD webcam",,,,"2 x Thunderbolt , 1 x 3.5 mm","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0",,macOS,,,,,,,MacBook Air,"Macbook Air 13.6"" MLY03SA/A",,Silver,"Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Doanh nhân",,,8GB,512GB SSD,1.3 kg | 30.41 x 21.5 x 1.13 cm,53 Wh,,
MacBook Air M2 2022 13 inch,21.990.000₫,Apple,12 tháng,,Apple M2 ( 8-Core CPU / 8-Core GPU ),,,"13.6"" ( 2560 x 1664 ) | Liquid Retina
FHD webcam",,,,"2 x Thunderbolt , 1 x 3.5 mm , Không","WiFi 802.11ax (Wifi 6) , Bluetooth 5.0",,macOS,,,,,,,MacBook Air,"MacBook Air 13.6"" MLY33SA/A",,Midnight,"Văn phòng, Đồ họa - Kỹ thuật, Doanh nghiệp, Doanh nhân",,,8GB,256GB SSD,1.3 kg | 30.41 x 21.5 x 1.13 cm,53 Wh,,
Laptop Lenovo IdeaPad 3 - 14ABA7-82RM003UVN,12.990.000₫,Lenovo,24 tháng,Bảo hành Pin 12 tháng,"AMD Ryzen™ 7 5825U ( 2.0 GHz - 4.5 GHz / 16MB / 8 nhân, 16 luồng ), AMD",,Onboard graphics AMD Radeon™ Graphics,"14"" ( 1920 x 1080 ) Full HD TN , 60Hz , không cảm ứng , 250 nits , Màn hình chống lóa",HD webcam,8GB Onboard DDR4 3200MHz ( 1 Khe cắm / Hỗ trợ tối đa 16GB ),512GB SSD M.2 NVMe ( 1 x M.2 2280 ),"1 x USB Type C / DisplayPort / Data / Power Delivery
1 x USB 3.2
1 x USB 2.0
1 x SD card slot
Audio combo
1 x HDMI","WiFi 802.11ac , Bluetooth 5.0","Bàn phím thường , không phím số",Windows 11 Home,32.42 x 21.57 x 1.99 cm,"45 Wh , Pin liền",1.4 kg,Vân tay,,Adapter,Lenovo IdeaPad,IdeaPad 3 - 14ABA7-82RM003UVN,82RM003UVN,Xám,,Dolby Audio,,,,,,,
Laptop HP Pavilion 15-eg2055TU,21.990.000₫,HP,12 tháng,Bảo hành Pin 12 tháng,"Intel® Core™ i7 1260P ( 2.1 GHz - 4.7 GHz / 18MB / 12 nhân, 16 luồng ), Non-EVO",,Onboard graphics Intel® Iris® Xe Graphics,"15.6"" ( 1920 x 1080 ) Full HD IPS , 60Hz , không cảm ứng , 250 nits , 45% NTSC",HD webcam,2 x 4GB DDR4 3200MHz ( 2 Khe cắm,512GB SSD M.2 NVMe ( 1 x M.2 NVMe ),"1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
Audio combo
1 x HDMI","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","Bàn phím thường , có phím số",Windows 11 Home SL,36.02 x 23.4 x 1.79 cm,3 cell 41 Wh,1.7 kg,,không đèn,,HP Pavilion,Pavilion 15-eg2055TU (6K785PA),6K785PA,Vàng,,HP Audio Boost,,,,,,,
