Product Name,Price,Sản phẩm,Tên Hãng,Model,Bộ vi xử lý,Card đồ họa,Bộ nhớ ram,Ổ cứng,Số cổng lưu trữ tối đa,Kiểu khe M.2 hỗ trợ,Màn hình,Kết nối,Cổng giao tiếp,Webcam,Bảo mật,Hệ điều hành,Pin,Kích thước,Trọng lượng,Màu sắc/ Chất liệu,Bộ VXL,Bộ nhớ,Ổ đĩa quang,Màu sắc/ Chất liệu,Thương hiệu,Sản phẩm,CPU,RAM,VGA,Camera,Wi-Fi,Bluetooth,LOA,Màu sắc,Cổng kết nối,Wifi,Chất liệu,Kích thước,Trọng lượng,Ram,Trọng Lượng,Bộ nhớ RAM,Nhận dạng vân tay,Ổ cứng/ Ổ đĩa quang,Âm thanh,Audio,Màu sắc,Đèn LED trên máy,Hãng sản xuất,Bộ vi xử lý,Bộ nhớ Ram,Ổ đĩa cứng,Đồ họa,WiFi,bluetooth,Pin (Battery),Khối lượng,Kết nối mạng LAN,SSD,Kết nối không dây,Khe đọc thẻ nhớ,Bảo mật vân tay,Card đồ hoạ,Đọc thẻ,Ổ đĩa quang (DVD),Giao tiếp mạng,Giao tiếp mạng - Communications,Cổng giao tiếp - Port,pin,NPU,Bộ xử lý,Cổng I/O,Nguồn,OS,Lưu trữ,Wireless,LAN,Đọc thẻ - Card reader,Cổng xuất hình,Hỗ trợ nâng cấp,Khả năng nâng cấp trong tương lai,Vga,Mô tả khác,Bộ VXL,Card màn hình,Kích thước màn hình,bàn phím,Thiết kế/ Chất liệu vỏ,card đồ họa,Khả năng nâng cấp ram,PIN,Mạng,Loại card đồ họa,Vân tay,Ổ đĩa cứng - SSD,Kết nối USB,Năm sản xuất,Chất liệu sản phẩm,Ổ cứng,Đọc thẻ nhớ,WIFI,Dung lượng RAM,Công nghệ âm thanh,Bộ xử lý - CPU,Bộ nhớ trong - Ram,Đèn bàn phím,wifi,Màn hình - Monitor,Card đồ hoạ - Video,Công nghệ CPU,Finger Print,Bộ nhớ trong,Chip đồ họa,Màn hình hiển thị,Ổ đĩa cứng - HDD,Tính năng đặc biệt,Loại đèn bàn phím,Dung lượng,Ổ đĩa quang (ODD),Kiểu Pin,Hệ điều hành (bản quyền) đi kèm,Kích thước (Dài x Rộng x Cao),Màn hìn,Pin(Battery),Phụ kiện kèm theo,Màu,webcam,Bàn phím,Chuẩn WIFI,Loa,Phụ kiện,Cạc đồ họa,Loại khe M.2,Keyboard + Mouse,Khe cắm mở rộng,Hệ điều hành tương thích,Công suất bộ sạc,Thông số (Lan/Wireless),"Wi-Fi, bluetooth",Màu sắc (Colour),Bàn phím,Hãng sãn xuất,Chuẩn Lan,Bàn Phím,Bộ nguồn,Phần mềm có sẵn,Thời lượng pin,Card mở rộng,Card VGA,"Wi-Fi,",Giao tiếp,Thẻ đọc,Kiểu bàn phím,Lan,Kết nối có dây (LAN),Chuẩn LAN,Card reader,Kết nối không dây,Ổ quang,Bảo mật Vân tay,,Keyboard,Khe mở rộng,Nhận dạng Vân tay,Chuẩn Wifi,Kiểu khe M.2 hỗ tr,bảo mật,Máy tính xách tay,Tính năng khác,Phụ kiện kèm,"Wifi, bluetooth",Bluetooth®,Kiểu khe M.2 hỗ trợ`,Chuẩn Wi-Fi,Other Supports
Laptop Dell Latitude 3550 42LT355001 Đen,Liên hệ,,,42LT355001,,,,512GB SSD M.2 2230 QLC PCIe Gen 4 NVMe,,,"15.6 inch FHD (1920x1080) Non-Touch, AG, IPS, 250 nits",,,FHD,Không bảo mật vân tay,Win 11H,3 cells - 42Wh,,,,,,,,Dell,Máy tính xách tay,"Intel Core i5-1335U (12 MB cache, 10 cores, up to 4.60 GHz Turbo)","8GB DDR5 5600 MT/s, KYHD",Intel UHD Graphics,,,Bluetooth,,Đen,"1 x USB4 (20 Gbps) with Power Delivery and DisplayPort, 2 x USB 3.2 Gen 1 (5 Gbps), 1 x USB 3.2 Gen 1 (5 Gbps) withPowerShare, 1 x HDMI 1.4, 1 x HDMI 2.0, 1 x RJ45,1 x universal audio, 1 x power-adapter","Intel Wi-Fi 6E AX211, 2x2, 802.11ax",,18.10mm x 359mm x 239.70mm,,,1.81 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Lenovo IdeaPad Slim 3 14IRH10 83K00009VN Xám,19.590.000đ,Máy tính xách tay,Lenovo,IdeaPad Slim 3 14IRH10 83K00009VN,"Intel® Core™ i7-13620H ( 2.4 GHz - 4.9 GHz / 12MB / 10 nhân, 16 luồng ), Non-EVO",Onboard graphics Intel UHD Graphics,24GB (16GB + 8GB Onboard) DDR5 4800MHz ( 1 Khe cắm / Hỗ trợ tối đa 24GB ),512GB SSD M.2 NVMe ( 2 x M.2 2242 ),,,"14"" ( 1920 x 1200 ) WUXGA IPS , không cảm ứng , 300 nits , 45% NTSC , Màn hình chống lóa","WiFi 802.11ax (Wifi 6) , Bluetooth 5.2","1 x USB Type C / DisplayPort / Power Delivery
2 x USB 3.2
1 x SD card slot
Audio combo
1 x HDMI",HD webcam,,"Windows 11 Home SL, English","60 Wh , Pin liền",314.4 x 222.1 x 16.9-17.9 mm,1.4 kg,,,,,Xám,,,,,,,,,,,,,,,,,,,,,,,,không đèn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Lenovo Yoga Slim 7 14ILL10 83JX0037VN Xám,36.990.000đ,Máy tính xách tay,Lenovo,Yoga Slim 7 14ILL10 83JX0037VN,"Intel® Core™ Ultra 7 258V (2.20GHz up to 4.80GHz, 12MB Cache)",Intel® Arc™ Graphics 140V,32GB Soldered LPDDR5x-8533MHz,1TB SSD M.2 2242 PCIe® 4.0x4 NVMe®,,,"14inch 2.8K WQXGA+ (2880x1800) OLED, 1100nits (peak) / 500nits (typical) Glossy, 100% DCI-P3, 120Hz, Eyesafe®, Dolby Vision®, DisplayHDR™ True Black 1000, X-Rite®, PureSight Pro","Wi-Fi® 7, 802.11be 2x2
Bluetooth 5.4","1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On
2 x USB-C® (Thunderbolt™ 4 / USB4® 40Gbps), with USB PD 3.0 and DisplayPort™ 2.1
1 x HDMI® 2.1, up to 4K/60Hz
1 x Headphone / microphone combo jack (3.5mm)",5.0MP + IR with E-shutter,,Windows® 11 Home Single Language,70WHrs,,1.19 kg,,,,,,,,,,,,,,,,,,,325 x 226 x 16.6 mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Lenovo Legion 7 16IRX9 83FD006JVN Trắng,64.990.000đ,,,Lenovo Legion 7 16IRX9 83FD004MVN,,,,,,,"16"" 3.2K (3200x2000) IPS 430nits Anti-glare, 100% DCI-P3, 165Hz, Dolby® Vision®, G-SYNC®, Low Blue Light",,"1x USB-C® (Thunderbolt™ 4 / USB4® 40Gbps), with PD 140W and DisplayPort™ 1.4
1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4
1x USB-C® (USB 5Gbps / USB 3.2 Gen 1)
1x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On
1x HDMI® 2.1, up to 8K/60Hz
1x Headphone / microphone combo jack (3.5mm)
1x Power connector
FingerPrint",FHD 1080p with E-shutter,,Windows® 11 Home,,,,,,,,,,,,,,,,,,Trắng,,,,363.5 x 262.1 x 21.95-25.9 mm (14.31 x 10.32 x 0.86-1.02 inches),,,,,,,,,,,Lenovo,Intel Core i9-14900HX 2.39GHz up to 5.5GHz 36MB,"32GB (16x2) DDR5 5600MHz (2x SO-DIMM socket, up to 32GB SDRAM)",1TB SSD M.2 2280 PCIe® 4.0x4 NVMe® (Còn trống 1x M.2 2280 PCIe® 4.0 x4 slots),"NVIDIA® GeForce RTX™ 4070 8GB GDDR6, Boost Clock 2175MHz, TGP 130W
AI TOPs: 321 TOPs","Wi-Fi® 6E, 11ax (2x2)",Bluetooth v5.3,4 Cell 99.99 WHr,2.24 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Lenovo Legion 7 16IRX9 83FD004MVN Đen,64.990.000đ,,,Lenovo Legion 7 16IRX9 83FD004MVN,,,,,,,"16"" 3.2K (3200x2000) IPS 430nits Anti-glare, 100% DCI-P3, 165Hz, Dolby® Vision®, G-SYNC®, Low Blue Light",,"1x USB-C® (Thunderbolt™ 4 / USB4® 40Gbps), with PD 140W and DisplayPort™ 1.4
1x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4
1x USB-C® (USB 5Gbps / USB 3.2 Gen 1)
1x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On
1x HDMI® 2.1, up to 8K/60Hz
1x Headphone / microphone combo jack (3.5mm)
1x Power connector
FingerPrint",FHD 1080p with E-shutter,,Windows® 11 Home,,,,,,,,,,,,,,,,,,Đen,,,,363.5 x 262.1 x 21.95-25.9 mm (14.31 x 10.32 x 0.86-1.02 inches),,,,,,,,,,,Lenovo,Intel Core i9-14900HX 2.39GHz up to 5.5GHz 36MB,"32GB (16x2) DDR5 5600MHz (2x SO-DIMM socket, up to 32GB SDRAM)",1TB SSD M.2 2280 PCIe® 4.0x4 NVMe® (Còn trống 1x M.2 2280 PCIe® 4.0 x4 slots),"NVIDIA® GeForce RTX™ 4070 8GB GDDR6, Boost Clock 2175MHz, TGP 130W
AI TOPs: 321 TOPs","Wi-Fi® 6E, 11ax (2x2)",Bluetooth v5.3,4 Cell 99.99 WHr,2.24 kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Asus Gaming ROG Strix G16 G614JV-N3515W Xám,36.400.000đ,,,G614JV-N3515W,,,,1TB SSD M.2 PCIe 4.0 NVMe,,,"16 inch FHD+ (1920 x 1200, WUXGA) 165Hz, 250nits, Anti-glare display",,,720P HD,N/A,Windows 11 Home,4 Cell -90WHrs,,,,,,,,Asus,Máy tính xách tay,"Intel Core i7-13650HX 2.6 GHz up to 4.9 GHz, 24MB",32GB DDR5-4800Mhz (2 x16GB),Nvidia GeForce RTX 4060 8GB GDDR6,,,Bluetooth 5.3,,Xám,"1 x RJ45 LAN port, 1 x Thunderbolt 4 with support for DisplayPort (data speed up to 40Gbps), 1 x USB 3.2 Gen 2 Type-C with support for DisplayPort / power delivery / G-SYNC (data speed up to 10Gbps), 2 x USB 3.2 Gen 2 Type-A (data speed up to 10Gbps), 1 x HDMI 2.1 FRL",Wi-Fi 6E(802.11ax) (Triple band) 2*2,,35.4cm x 26.4cm x 2.26cm ~ 3.04cm (WxDxH),2.50 kg,,,,,,,,,,,,,,,,,,,10/100/1000 Mbps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Acer Gaming Aspire 7 A715-59G-73LB NH.QX6SV.002 Đen,21.990.000đ,,,A715-59G-57TU NH.QX6SV.001,,,,,,,"15.6"" FHD IPS 144Hz SlimBezel, FHD (1920x1080), 250nits, 45% NTSC, 144Hz",,"USB Type-C
2x USB Type-C™ ports
USB Standard A
2x USB Standard-A ports, supporting:
• One port for USB 2.0
• One port for USB 3.2 Gen 1
HDMI® 2.1 port with HDCP support
Ethernet (RJ-45) port
3.5 mm headphone/speaker jack, supporting headsets with built-in microphone
DC-in jack for AC adapter
microSD™ Card reader
Mini DisplayPort™ 1.4",,,Windows 11 Home Single Language,54.8Wh,,,,,,,,Acer,Máy tính xách tay,"IIntel® Core™ i7-12650H (upto 4.7GHz, 10 nhân, 16 luồng, 24MB)",16GB DDR4 Nâng cấp tối đa 32GB,NVIDIA® GeForce RTX™ 3050 4GB GDDR6,,,,,Đen,,,,359.5 (W) x 238 (D) x 22.7 (H) mm,1.99 kg,,,,,,,,,,,,,,,,,,,,"512GB PCIe NVMe SSD, 2 khe cắm SSD, hỗ trợ nâng cấp tối đa 4TB","WLAN
• 802.11a/b/g/n/ac+ax wireless LAN
• Dual Band (2.4 GHz and 5 GHz)
• MU-MIMO technology",Micro SD card reader,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Acer Gaming Nitro Lite 16 NL16-71G-56WQ NH.D59SV.001 Pearl White,21.690.000đ,,,NL16-71G-56WQ NH.D59SV.001,,,,"512GB PCIe NVMe SSD, hỗ trợ nâng cấp tối đa 2TB",,,"16"" FHD+ IPS 165Hz NTSC 45%, 300nits , Acer ComfyView™ LED-backlit TFT LCD",,,"Video conferencing
Camera FHD Camera MISC 2M FHD Camera_CTE","BIOS user, supervisor passwords,
Kensington lock slot",Win 11H,"53Wh 3-cell Li-ion battery
100W TypeC adapter",,,,,,,,Acer,Máy tính xách tay,"Intel® Core™ i5-13420H (upto 4.6GHz, 8 nhân, 12 luồng, 12MB)",16 GB ( 1*8GB Onboard + 1*8GB rời) Nâng cấp lên tối đa 56GB (8GB Onboard + 48GB 1 thanh RAM rời),"NVIDIA® GeForce® RTX™ 3050 with 6 GB of dedicated GDDR6 VRAM, supporting 2560 NVIDIA® CUDA® Cores.",,"WLAN
• 802.11a/b/g/n/ac+ax wireless LAN
• Dual Band (2.4 GHz and 5 GHz)
• 2x2 MU-MIMO technology

WPAN
• Bluetooth® 5.0""WLAN
• 802.11a/b/g/n/ac+ax wireless LAN
• Dual Band (2.4 GHz and 5 GHz)
• 2x2 MU-MIMO technology","Bluetooth® 5.0""",,Pearl White,"USB Type-C
1x USB Type-C™ port supporting:
• USB 3.2 Gen 2 (up to 10 Gbps)
• Thunderbolt™ 4
• USB charging 5 V; 3 A
• DC-in port 20 V; 65 W
USB Standard A
2x USB Standard-A ports, supporting:
• One port for USB 3.2 Gen 1
• One port for USB 3.2 Gen 1 featuring power off USB charging
3.5 mm headphone/speaker jack, supporting headsets with built-in microphone
HDMI® 2.1 port with HDCP support
Ethernet (RJ-45) port",,Plastic,362.2 (W) x 248.47 (D) x 22.9/22.9 (H) mm,1.95Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Acer Gaming Nitro Lite 16 NL16-71G-71UJ NH.D59SV.002 Pearl White,23.490.000đ,,,NL16-71G-71UJ NH.D59SV.002,,,,"512GB PCIe NVMe SSD, hỗ trợ nâng cấp tối đa 2TB",,,"16"" FHD+ IPS 165Hz NTSC 45%, 300nits , Acer ComfyView™ LED-backlit TFT LCD",,,"Video conferencing
Camera FHD Camera MISC 2M FHD Camera_CTE","BIOS user, supervisor passwords,
Kensington lock slot",Win 11H,"53Wh 3-cell Li-ion battery
100W TypeC adapter",,,,,,,,Acer,Máy tính xách tay,"Intel® Core™ i7-13620H (upto 4.9GHz, 10 nhân, 16 luồng, 24MB)",16 GB ( 1*8GB Onboard + 1*8GB rời) Nâng cấp lên tối đa 56GB (8GB Onboard + 48GB 1 thanh RAM rời),"NVIDIA® GeForce® RTX™ 3050 with 6 GB of dedicated GDDR6 VRAM, supporting 2560 NVIDIA® CUDA® Cores.",,"WLAN
• 802.11a/b/g/n/ac+ax wireless LAN
• Dual Band (2.4 GHz and 5 GHz)
• 2x2 MU-MIMO technology

WPAN
• Bluetooth® 5.0""WLAN
• 802.11a/b/g/n/ac+ax wireless LAN
• Dual Band (2.4 GHz and 5 GHz)
• 2x2 MU-MIMO technology","Bluetooth® 5.0""",,Pearl White,"USB Type-C
1x USB Type-C™ port supporting:
• USB 3.2 Gen 2 (up to 10 Gbps)
• Thunderbolt™ 4
• USB charging 5 V; 3 A
• DC-in port 20 V; 65 W
USB Standard A
2x USB Standard-A ports, supporting:
• One port for USB 3.2 Gen 1
• One port for USB 3.2 Gen 1 featuring power off USB charging
3.5 mm headphone/speaker jack, supporting headsets with built-in microphone
HDMI® 2.1 port with HDCP support
Ethernet (RJ-45) port",,Plastic,362.2 (W) x 248.47 (D) x 22.9/22.9 (H) mm,1.95Kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Acer Gaming Aspire 7 A715-59G-57TU NH.QX6SV.001 Đen,19.690.000đ,,,A715-59G-57TU NH.QX6SV.001,,,,,,,"15.6"" FHD IPS 144Hz SlimBezel, FHD (1920x1080), 250nits, 45% NTSC, 144Hz",,"USB Type-C
2x USB Type-C™ ports
USB Standard A
2x USB Standard-A ports, supporting:
• One port for USB 2.0
• One port for USB 3.2 Gen 1
HDMI® 2.1 port with HDCP support
Ethernet (RJ-45) port
3.5 mm headphone/speaker jack, supporting headsets with built-in microphone
DC-in jack for AC adapter
microSD™ Card reader
Mini DisplayPort™ 1.4",,,Windows 11 Home Single Language,54.8Wh,,,,,,,,Acer,Máy tính xách tay,"Intel Core i5-12450H, lõi 8, luồng 12",16GB DDR4 Nâng cấp tối đa 32GB,NVIDIA® GeForce RTX™ 3050 4GB GDDR6,,,,,Đen,,,,359.5 (W) x 238 (D) x 22.7 (H) mm,1.99 kg,,,,,,,,,,,,,,,,,,,,"512GB PCIe NVMe SSD, 2 khe cắm SSD, hỗ trợ nâng cấp tối đa 4TB","WLAN
• 802.11a/b/g/n/ac+ax wireless LAN
• Dual Band (2.4 GHz and 5 GHz)
• MU-MIMO technology",Micro SD card reader,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop ASUS ROG Strix G16 G614JV-N4369W Xám,35.990.000đ,,,G614JV-N4369W,,,,,,,"16-inch WUXGA (1920 x 1200) 16:10, 240Hz, 100% sRGB, IPS, Anti-glare",,,720P HD camera,,Windows 11 Home bản quyền,"4Cell, 90WHrs, 4S1P",,,,,,,,Asus,Máy tính xách tay,"Intel® Core™ i7-13650HX (2.60GHz up to 4.90GHz, 24MB Cache)",,,,Wi-Fi 6E(802.11ax) (Triple band) 2*2,Bluetooth 5.2,,Xám,"1 x RJ45 LAN port
1 x Thunderbolt™ 4 support DisplayPort™
1 x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC
2 x USB 3.2 Gen 2 Type-A
1 x HDMI 2.1 FRL
1 x 3.5mm Combo Audio Jack",,,35.4 x 26.4 x 2.26 ~ 3.04 cm,,"16GB DDR5 4800MHz SO-DIMM (2 khe, up to 32GB)",2.50 Kg,,,,,,,,,,,,,,,,,,1TB PCIe® 4.0 NVMe™ M.2 SSD,,,,NVIDIA® GeForce RTX™ 4060 8GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Lenovo IdeaPad Slim 5 OLED 15ARP10 83J3002SVN Xám,21.990.000đ,,,IdeaPad Slim 5 OLED 15ARP10 83J3002SVN,,,,,,,"15.1inch WQXGA (2560x1600) OLED, 500nits, Glossy, 100% DCI-P3, DisplayHDR™ True Black 600, 165Hz",,,"FHD 1080p + IR with Privacy Shutter, ToF Sensor","Microsoft Pluton TPM 2.0 Enabled
Camera IR cho Windows Hello (nhận dạng khuôn mặt)",Windows 11 Home,4Cell 70Wh,,,,,,,,Lenovo,Laptop,"AMD Ryzen™ 7-7735HS (3.20GHz up to 4.75GHz, 16MB Cache)",,,,"Wi-Fi® 6, 802.11ax 2x2",Bluetooth 5.3,,Xám,"1 x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On
2 x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with USB PD 3.0 and DisplayPort™ 1.4
1 x HDMI® 2.1, up to 4K/60Hz
1 x Headphone / microphone combo jack (3.5mm)",,Vỏ kim loại,339.33 x 236 x 15.6 mm (13.36 x 9.29 x 0.61 inches),,32GB Soldered LPDDR5x-6400MHz,1.49 kg,,,,,,,,,,,,,,,,,,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,,,,AMD Radeon™ 680M Graphics,1 x microSD card reader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Lenovo ThinkPad T14S GEN 5 21LS0061VA Đen,35.990.000đ,,,Laptop Lenovo ThinkPad T14S GEN 5 21LS0061VA Đen,,,,1TB SSD M.2 2280 PCIe® 4.0x4 Performance NVMe® Opal 2.0,,,"14 inch WUXGA (1920x1200) IPS 400nits Anti-glare, 45% NTSC, DBEF5",,,5.0MP + IR Discrete with Privacy Shutter,Finger Print,NoOS,,,,,,,,,Lenovo,Máy tính xách tay,"Intel Core Ultra 7 155U, P-core 1.7GHz up to 4.8GHz, E-core 1.2GHz up to 3.8GHz, 12MB",32GB Soldered LPDDR5x-6400MHz,Integrated Intel Graphics,,,Bluetooth 5.3,,Đen,"1 x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1 x USB-A (USB 5Gbps / USB 3.2 Gen 1), Always On
2 x USB-C® (Thunderbolt™ 4 / USB4® 40Gbps), with USB PD 3.0 and DisplayPort™ 2.1
1 x HDMI® 2.1, up to 4K/60Hz
1 x Headphone / microphone combo jack (3.5mm)","Intel Wi-Fi 6E AX211, 802.11ax 2x2","Carbon Fiber Hybrid (Top), Aluminium (Bottom)",313.6mm x 219.4mm x 16.9mm (WxDxH),1.24 kg,,,,,,,,,,,,,,,,,,,,,,,,,,Không DVD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop ASUS ROG Strix G16 G614JU-N3206W Xám,35.091.000đ,,,G614JU-N3206W,,,,512GB PCIe® 4.0 NVMe™ M.2 SSD,,,"16inch WUXGA (1920 x 1200) 16:10, 165Hz, 7ms, IPS-level, 250nits, Anti-glare display, 100% DCI-P3, G-Sync, Dolby Vision HDR",,,720P HD camera,,Win 11 Home,"4Cell, 90WHrs, 4S1P",,,,,,,,Asus,Máy tính xách tay,"Intel® Core™ i7-13650HX (2.60GHz up to 4.90GHz, 24MB Cache)",,,,,Bluetooth 5.2,,Xám,,,,35.4 x 26.4 x 2.26 ~ 3.04 cm,2.50 Kg,16GB DDR5-4800MHz SO-DIMM (2x SO-DIMM slot) Nâng cấp tối đa 32GB,,,,,,,,,,,,,,,,,,,,,,,NVIDIA® GeForce RTX™ 4050 6GB GDDR6,,,Wi-Fi 6E(802.11ax) (Triple band) 2*2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop ASUS ROG Strix G16 G614JU-N3480W Xám,34.191.000đ,,,G614JU-N3480W,,,,,,,"16inch WUXGA (1920 x 1200) 16:10, 165Hz, 7ms, IPS-level, 250nits, Anti-glare display, 100% DCI-P3, G-Sync, Dolby Vision HDR",,"1 x RJ45 LAN port
1 x Thunderbolt™ 4 support DisplayPort™
1 x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC
2 x USB 3.2 Gen 2 Type-A
1 x HDMI 2.1 FRL
1 x 3.5mm Combo Audio Jack",720P HD camera,,,"4Cell, 90WHrs, 4S1P",,,,,,,,Asus,Máy tính xách tay,"Intel® Core™ i5-13450HX (2.40GHz up to 4.60GHz, 20MB Cache)",,,,,Bluetooth 5.2,,,,,,35.4 x 26.4 x 2.26 ~ 3.04 cm,2.50 kg,16GB DDR5-4800MHz SO-DIMM (2x SO-DIMM slot) nâng cấp tối đa 32GB,,,,,,,,,,,,,,,,,,,"512GB PCIe® 4.0 NVMe™ M.2 SSD (2 Khe cắm M.2 hỗ trợ SATA hoặc NVMe, nâng cấp tối đa 2TB)",,,,,,,Wi-Fi 6E(802.11ax) (Triple band) 2*2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop Lenovo LOQ 15IRX9 83DV00UGVN Xám,28.990.000đ,,,83DV00UGVN,,,,,,,"15.6inch FHD (1920x1080) IPS, 300nits, Anti-glare, 100% sRGB, 144Hz, G-SYNC®",,"3 x USB-A (USB 5Gbps / USB 3.2 Gen 1)
1 x USB-C® (USB 10Gbps / USB 3.2 Gen 2), with Lenovo® PD 140W and DisplayPort™ 1.4
1 x HDMI® 2.1, up to 8K/60Hz
1 x Headphone / microphone combo jack (3.5mm)
1 x Ethernet (RJ-45)
1 x Power connector",HD 720p with E-shutter,Firmware TPM 2.0 Enabled,Windows 11 Home Single Language,4Cell 60WHrs,,,,,,,,Lenovo,Máy tính xách tay,"Intel® Core™ i7-13650HX (2.60GHz up to 4.90GHz, 24MB Cache)",,,,"Wi-Fi® 6, 802.11ax 2x2",Bluetooth 5.2,,Xám,,,Vỏ nhựa,359.86 x 258.7 x 21.9-23.9 mm,,"24GB(2x 12GB) SO-DIMM DDR5-4800MHz (2 slots, Up to 32GB)",2.38 kg,,,,,,,,,,,,,,,,,,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,,,,NVIDIA® GeForce RTX™ 4050 6GB GDDR6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
